account_id,frequency
960,afterTrans
1270,afterTrans
1527,afterTrans
1583,afterTrans
2705,afterTrans
3418,afterTrans
4293,afterTrans
5256,afterTrans
5602,afterTrans
5724,afterTrans
5742,afterTrans
6400,afterTrans
7052,afterTrans
8073,afterTrans
8558,afterTrans
9052,afterTrans
9627,afterTrans
9731,afterTrans
10520,afterTrans
19,Monthly
37,Monthly
103,Monthly
110,Monthly
276,Monthly
290,Monthly
303,Monthly
309,Monthly
330,Monthly
344,Monthly
347,Monthly
378,Monthly
426,Monthly
440,Monthly
442,Monthly
472,Monthly
501,Monthly
525,Monthly
675,Monthly
789,Monthly
790,Monthly
808,Monthly
854,Monthly
873,Monthly
915,Monthly
938,Monthly
940,Monthly
993,Monthly
1004,Monthly
1011,Monthly
1068,Monthly
1083,Monthly
1166,Monthly
1244,Monthly
1247,Monthly
1250,Monthly
1256,Monthly
1318,Monthly
1447,Monthly
1528,Monthly
1656,Monthly
1698,Monthly
1762,Monthly
1766,Monthly
1801,Monthly
1811,Monthly
1843,Monthly
1869,Monthly
1886,Monthly
1888,Monthly
1993,Monthly
2000,Monthly
2035,Monthly
2055,Monthly
2064,Monthly
2134,Monthly
2143,Monthly
2176,Monthly
2218,Monthly
2228,Monthly
2236,Monthly
2246,Monthly
2262,Monthly
2268,Monthly
2335,Monthly
2345,Monthly
2350,Monthly
2352,Monthly
2361,Monthly
2445,Monthly
2456,Monthly
2496,Monthly
2580,Monthly
2699,Monthly
2725,Monthly
2824,Monthly
2872,Monthly
2912,Monthly
2933,Monthly
2994,Monthly
3021,Monthly
3037,Monthly
3112,Monthly
3115,Monthly
3137,Monthly
3166,Monthly
3189,Monthly
3230,Monthly
3273,Monthly
3403,Monthly
3460,Monthly
3556,Monthly
3629,Monthly
3664,Monthly
3678,Monthly
3711,Monthly
3859,Monthly
3862,Monthly
3906,Monthly
3916,Monthly
3967,Monthly
4033,Monthly
4079,Monthly
4081,Monthly
4099,Monthly
4116,Monthly
4127,Monthly
4144,Monthly
4190,Monthly
4260,Monthly
4320,Monthly
4354,Monthly
4423,Monthly
4447,Monthly
4448,Monthly
4456,Monthly
4473,Monthly
4503,Monthly
4533,Monthly
4550,Monthly
4585,Monthly
4618,Monthly
4650,Monthly
4681,Monthly
4725,Monthly
4746,Monthly
4784,Monthly
4794,Monthly
4803,Monthly
4852,Monthly
4858,Monthly
4907,Monthly
4948,Monthly
4949,Monthly
4981,Monthly
4999,Monthly
5072,Monthly
5118,Monthly
5120,Monthly
5126,Monthly
5164,Monthly
5181,Monthly
5213,Monthly
5263,Monthly
5267,Monthly
5269,Monthly
5283,Monthly
5305,Monthly
5313,Monthly
5317,Monthly
5358,Monthly
5395,Monthly
5422,Monthly
5428,Monthly
5442,Monthly
5445,Monthly
5481,Monthly
5541,Monthly
5572,Monthly
5591,Monthly
5628,Monthly
5698,Monthly
5700,Monthly
5735,Monthly
5794,Monthly
5837,Monthly
5912,Monthly
5927,Monthly
5944,Monthly
5991,Monthly
6051,Monthly
6062,Monthly
6075,Monthly
6097,Monthly
6157,Monthly
6158,Monthly
6289,Monthly
6353,Monthly
6358,Monthly
6397,Monthly
6453,Monthly
6461,Monthly
6473,Monthly
6592,Monthly
6609,Monthly
6649,Monthly
6678,Monthly
6688,Monthly
6699,Monthly
6706,Monthly
6856,Monthly
6902,Monthly
6924,Monthly
6985,Monthly
7045,Monthly
7082,Monthly
7099,Monthly
7133,Monthly
7176,Monthly
7190,Monthly
7240,Monthly
7262,Monthly
7418,Monthly
7454,Monthly
7565,Monthly
7594,Monthly
7606,Monthly
7614,Monthly
7632,Monthly
7745,Monthly
7769,Monthly
7795,Monthly
7819,Monthly
7824,Monthly
7861,Monthly
7890,Monthly
7894,Monthly
7966,Monthly
7990,Monthly
8026,Monthly
8041,Monthly
8085,Monthly
8092,Monthly
8094,Monthly
8114,Monthly
8129,Monthly
8169,Monthly
8225,Monthly
8260,Monthly
8320,Monthly
8321,Monthly
8377,Monthly
8381,Monthly
8405,Monthly
8411,Monthly
8492,Monthly
8533,Monthly
8566,Monthly
8639,Monthly
8645,Monthly
8680,Monthly
8713,Monthly
8772,Monthly
8776,Monthly
8972,Monthly
8982,Monthly
9017,Monthly
9024,Monthly
9030,Monthly
9037,Monthly
9093,Monthly
9104,Monthly
9138,Monthly
9140,Monthly
9153,Monthly
9156,Monthly
9159,Monthly
9167,Monthly
9179,Monthly
9188,Monthly
9199,Monthly
9225,Monthly
9227,Monthly
9235,Monthly
9241,Monthly
9424,Monthly
9455,Monthly
9493,Monthly
9504,Monthly
9510,Monthly
9548,Monthly
9560,Monthly
9633,Monthly
9645,Monthly
9673,Monthly
9677,Monthly
9730,Monthly
9750,Monthly
9790,Monthly
9859,Monthly
9869,Monthly
9928,Monthly
10001,Monthly
10005,Monthly
10019,Monthly
10022,Monthly
10065,Monthly
10079,Monthly
10131,Monthly
10202,Monthly
10233,Monthly
10243,Monthly
10266,Monthly
10280,Monthly
10320,Monthly
10351,Monthly
10364,Monthly
10365,Monthly
10404,Monthly
10436,Monthly
10440,Monthly
10451,Monthly
10613,Monthly
10645,Monthly
10650,Monthly
10711,Monthly
10728,Monthly
10762,Monthly
10799,Monthly
10812,Monthly
10857,Monthly
10884,Monthly
10905,Monthly
10940,Monthly
10954,Monthly
10963,Monthly
11021,Monthly
11042,Monthly
11065,Monthly
11069,Monthly
11096,Monthly
11111,Monthly
11135,Monthly
11186,Monthly
11271,Monthly
11317,Monthly
11328,Monthly
38,Weekly
319,Weekly
785,Weekly
1071,Weekly
1106,Weekly
1252,Weekly
1480,Weekly
1772,Weekly
1787,Weekly
1819,Weekly
1862,Weekly
1967,Weekly
1978,Weekly
2051,Weekly
2279,Weekly
2720,Weekly
2728,Weekly
2754,Weekly
3084,Weekly
3608,Weekly
3942,Weekly
4052,Weekly
4413,Weekly
4462,Weekly
4467,Weekly
4969,Weekly
4995,Weekly
5066,Weekly
5362,Weekly
5385,Weekly
5632,Weekly
6034,Weekly
6083,Weekly
6118,Weekly
6226,Weekly
6555,Weekly
6701,Weekly
6715,Weekly
7136,Weekly
7437,Weekly
7562,Weekly
7713,Weekly
8051,Weekly
8158,Weekly
8327,Weekly
8547,Weekly
8899,Weekly
8931,Weekly
9006,Weekly
9403,Weekly
9491,Weekly
9646,Weekly
10063,Weekly
10093,Weekly
10478,Weekly
10738,Weekly
10911,Weekly
10915,Weekly
10942,Weekly
10973,Weekly
11013,Weekly
11054,Weekly
11349,Weekly
